l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
6,470,7,2,26.93,3219.99,0.04,0.05,A,F,1996-08-24,1996-10-04,1996-09-08,NONE,RAIL,slyly blithely final pending
6,225,68,3,36.86,4280.56,0.03,0.07,A,F,1996-10-01,1996-10-05,1996-10-05,NONE,FOB,regular express quickly blithely special unu
7,480,5,1,26.14,2579.54,0.09,0.06,R,F,1995-02-22,1995-02-20,1995-03-06,TAKE BACK RETURN,SHIP,unusual express silent unusual carefully exp
7,63,57,2,34.88,2102.11,0.08,0.02,A,F,1995-02-07,1995-04-03,1995-02-15,DELIVER IN PERSON,TRUCK,silent pending regular regular express quick
7,377,62,3,22.69,1956.61,0.02,0.06,A,F,1995-02-24,1995-04-16,1995-02-27,COLLECT COD,MAIL,pending blithely express final slyly express
8,49,91,1,5.16,3012.81,0.07,0.02,A,F,1996-11-14,1996-12-05,1996-12-05,TAKE BACK RETURN,AIR,furiously slyly express slyly quickly carefu
8,225,22,2,28.49,4396.52,0.08,0.07,N,F,1996-11-17,1997-01-04,1996-12-10,NONE,REG AIR,pending silent pending blithely unusual spec
8,237,94,3,27.4,3335.63,0.07,0.05,A,F,1996-10-31,1997-01-16,1996-11-05,COLLECT COD,FOB,quickly regular special special express sile
9,268,51,1,49.12,613.57,0.02,0.02,N,F,1998-07-29,1998-09-08,1998-08-15,NONE,REG AIR,quickly pending special unusual furiously re
9,276,11,2,14.48,4590.53,0.06,0.07,N,F,1998-07-29,1998-10-12,1998-08-24,COLLECT COD,REG AIR,regular silent final
9,76,72,3,43.21,4630.6,0.06,0.02,N,F,1998-09-16,1998-09-18,1998-09-19,NONE,FOB,silent special carefully furiously special q
10,65,74,1,49.25,1606.13,0.06,0.03,A,F,1995-10-24,1995-11-30,1995-11-17,DELIVER IN PERSON,SHIP,carefully express silent
10,52,65,2,36.14,309.31,0.03,0.07,A,F,1995-11-05,1995-11-28,1995-11-28,COLLECT COD,RAIL,quickly furiously slyly
10,272,64,3,11.08,3811.88,0.01,0.04,N,F,1995-10-30,1995-12-29,1995-11-11,TAKE BACK RETURN,SHIP,unusual unusual blithely carefully
11,123,75,1,24.88,1011.09,0.03,0.07,R,F,1997-05-07,1997-06-23,1997-05-17,TAKE BACK RETURN,FOB,special pending silent unusual regular regul
11,279,77,2,21.67,3851.98,0.04,0.0,R,F,1997-06-28,1997-06-14,1997-07-08,DELIVER IN PERSON,RAIL,express slyly carefully special quickly
11,320,90,3,23.63,4749.07,0.06,0.02,N,F,1997-06-04,1997-07-24,1997-07-01,NONE,RAIL,special final pending unusual silent
12,447,14,1,13.9,1369.9,0.03,0.01,N,F,1994-08-23,1994-09-10,1994-08-31,NONE,REG AIR,furiously silent silent special
12,254,52,2,13.75,3805.24,0.09,0.07,R,F,1994-08-15,1994-09-17,1994-09-14,COLLECT COD,MAIL,silent quickly furiously silent slyly quickl
12,180,15,3,42.93,1261.93,0.08,0.03,R,F,1994-08-22,1994-09-30,1994-09-06,TAKE BACK RETURN,TRUCK,express unusual blithely regular silent sile
13,462,9,1,25.86,1107.18,0.05,0.05,N,F,1998-09-18,1998-10-27,1998-09-26,COLLECT COD,MAIL,express regular special express unusual spec
13,7,80,2,45.74,4716.19,0.03,0.04,R,F,1998-10-06,1998-11-19,1998-10-20,COLLECT COD,SHIP,final final slyly furiously
13,474,34,3,4.32,4252.17,0.09,0.02,N,F,1998-09-01,1998-11-03,1998-09-03,NONE,RAIL,pending express express special carefully re
14,319,62,1,36.01,1616.88,0.1,0.07,N,F,1993-11-15,1994-01-22,1993-11-24,TAKE BACK RETURN,TRUCK,carefully silent pending final express furio
14,94,23,2,19.29,4960.09,0.08,0.06,A,F,1993-11-17,1993-12-23,1993-11-18,COLLECT COD,MAIL,pending silent blithely special express sile
14,51,89,3,19.69,346.28,0.0,0.04,R,F,1993-12-04,1994-01-18,1993-12-25,DELIVER IN PERSON,MAIL,special final slyly
15,174,60,1,24.31,1633.64,0.01,0.04,N,F,1993-05-17,1993-06-28,1993-06-12,DELIVER IN PERSON,TRUCK,unusual regular unusual slyly blithely unusu
15,48,14,2,11.01,4083.68,0.06,0.06,N,F,1993-06-08,1993-08-02,1993-06-11,TAKE BACK RETURN,RAIL,unusual special slyly express
15,473,91,3,38.9,3743.06,0.08,0.08,N,F,1993-05-16,1993-07-13,1993-05-22,DELIVER IN PERSON,RAIL,regular express final
16,74,44,1,9.87,4565.71,0.03,0.01,N,F,1997-08-02,1997-09-12,1997-09-01,DELIVER IN PERSON,SHIP,express slyly slyly regular unusual
16,316,3,2,11.2,994.89,0.06,0.03,R,F,1997-06-23,1997-07-30,1997-07-23,TAKE BACK RETURN,RAIL,blithely blithely express
16,286,4,3,48.56,3417.92,0.03,0.03,N,F,1997-07-31,1997-08-07,1997-08-19,NONE,TRUCK,special pending silent pending furiously sil
17,346,54,1,7.22,2371.68,0.1,0.07,A,F,1997-11-21,1997-12-21,1997-11-30,TAKE BACK RETURN,AIR,silent unusual slyly
17,286,12,2,48.86,636.72,0.0,0.02,R,F,1997-12-13,1997-12-24,1997-12-18,TAKE BACK RETURN,AIR,special silent carefully
17,271,99,3,44.79,4874.98,0.04,0.08,R,F,1997-11-29,1997-11-26,1997-12-26,NONE,MAIL,silent silent express furiously special
18,381,94,1,25.09,4700.12,0.01,0.0,R,F,1995-01-10,1995-01-03,1995-01-11,COLLECT COD,TRUCK,special silent final
18,407,38,2,37.45,4970.91,0.05,0.05,N,F,1994-12-23,1994-12-13,1994-12-24,DELIVER IN PERSON,TRUCK,pending slyly special furiously quickly
18,197,73,3,37.9,3176.1,0.08,0.01,A,F,1994-12-15,1994-12-25,1995-01-14,TAKE BACK RETURN,FOB,blithely final silent carefully express furi
19,351,29,1,13.2,681.83,0.01,0.07,R,F,1998-11-09,1998-11-15,1998-12-09,DELIVER IN PERSON,AIR,blithely silent final
19,133,43,2,25.56,3820.22,0.1,0.02,A,F,1998-10-13,1998-11-22,1998-11-03,DELIVER IN PERSON,TRUCK,unusual slyly express final regular
19,193,74,3,30.75,1326.88,0.06,0.06,A,F,1998-12-06,1998-12-05,1998-12-20,COLLECT COD,FOB,pending silent express
20,77,51,1,7.9,2701.3,0.05,0.01,R,F,1996-04-15,1996-06-11,1996-04-26,TAKE BACK RETURN,MAIL,blithely unusual express furiously unusual
20,233,3,2,1.41,527.23,0.06,0.08,N,F,1996-05-04,1996-06-27,1996-05-09,NONE,TRUCK,pending regular special unusual blithely exp
20,147,86,3,43.45,2048.16,0.09,0.0,R,F,1996-05-07,1996-05-09,1996-05-15,NONE,RAIL,special pending silent silent regular specia
21,192,2,1,25.39,2203.98,0.08,0.02,N,F,1999-02-12,1999-03-10,1999-03-13,NONE,AIR,carefully furiously express unusual pending 
21,113,82,2,15.69,4143.57,0.0,0.05,A,F,1999-01-12,1999-02-04,1999-01-13,TAKE BACK RETURN,FOB,slyly furiously furiously express quickly ex
21,43,63,3,49.96,2720.31,0.02,0.03,R,F,1998-12-28,1999-03-08,1999-01-19,TAKE BACK RETURN,FOB,final furiously silent quickly
22,227,66,1,42.96,1420.86,0.06,0.04,R,F,1997-09-25,1997-09-06,1997-10-17,DELIVER IN PERSON,FOB,final special furiously pending
22,262,39,2,25.53,2468.53,0.03,0.01,A,F,1997-08-18,1997-09-21,1997-09-15,COLLECT COD,AIR,express regular carefully
22,194,71,3,8.47,641.27,0.01,0.06,N,F,1997-08-30,1997-10-24,1997-09-08,NONE,MAIL,express slyly special final carefully
23,282,11,1,27.03,2371.64,0.0,0.05,A,F,1995-03-28,1995-05-01,1995-04-05,NONE,SHIP,slyly carefully silent express slyly silent 
23,208,34,2,43.44,189.6,0.08,0.07,R,F,1995-03-16,1995-04-23,1995-03-19,NONE,AIR,blithely express slyly unusual
23,442,4,3,6.8,2067.1,0.03,0.06,R,F,1995-04-16,1995-05-09,1995-04-17,TAKE BACK RETURN,MAIL,carefully blithely silent
24,46,36,1,2.59,164.71,0.03,0.07,R,F,1993-09-13,1993-08-28,1993-09-21,TAKE BACK RETURN,FOB,blithely regular blithely
24,213,6,2,39.25,614.32,0.06,0.03,A,F,1993-09-20,1993-08-30,1993-10-15,DELIVER IN PERSON,FOB,express silent express furiously regular sil
24,472,2,3,31.81,477.5,0.1,0.03,N,F,1993-08-13,1993-09-23,1993-08-19,DELIVER IN PERSON,TRUCK,furiously silent carefully quickly silent sp
25,458,26,1,34.17,4407.66,0.06,0.08,R,F,1994-10-13,1994-11-25,1994-10-29,COLLECT COD,RAIL,quickly special quickly silent pending
25,463,1,2,9.92,1505.3,0.0,0.06,A,F,1994-11-01,1994-11-18,1994-11-27,TAKE BACK RETURN,REG AIR,special unusual express quickly unusual slyl
25,203,24,3,8.95,4138.78,0.04,0.0,A,F,1994-10-21,1994-12-03,1994-11-12,NONE,REG AIR,express blithely special slyly carefully fin
26,165,8,1,37.05,4209.77,0.09,0.07,A,F,1994-08-30,1994-09-08,1994-08-31,DELIVER IN PERSON,MAIL,final furiously furiously blithely
26,393,34,2,44.75,867.05,0.08,0.06,N,F,1994-09-19,1994-09-11,1994-10-09,COLLECT COD,SHIP,express quickly silent unusual
26,6,39,3,45.73,3719.09,0.06,0.06,R,F,1994-09-27,1994-09-04,1994-10-08,DELIVER IN PERSON,MAIL,final special regular
27,2,42,1,1.84,680.61,0.08,0.07,R,F,1994-02-03,1994-02-22,1994-02-28,TAKE BACK RETURN,SHIP,slyly quickly pending regular silent express
27,443,15,2,7.7,3875.1,0.09,0.07,R,F,1994-01-29,1994-03-29,1994-02-02,COLLECT COD,SHIP,slyly regular pending final pending
27,438,82,3,3.24,3390.09,0.06,0.01,R,F,1994-02-23,1994-03-02,1994-02-24,NONE,REG AIR,regular carefully furiously slyly regular
28,197,34,1,37.98,2455.35,0.1,0.06,R,F,1994-06-17,1994-07-28,1994-07-11,COLLECT COD,TRUCK,express furiously silent slyly quickly expre
28,38,39,2,25.66,1689.16,0.05,0.01,R,F,1994-05-21,1994-06-26,1994-06-09,NONE,AIR,carefully final pending regular silent quick
28,24,58,3,21.41,1328.29,0.0,0.05,R,F,1994-06-11,1994-07-29,1994-06-18,TAKE BACK RETURN,TRUCK,unusual final carefully furiously final regu
29,30,89,1,17.4,1915.53,0.02,0.0,N,F,1995-10-06,1995-09-16,1995-10-28,COLLECT COD,RAIL,silent carefully furiously express
29,438,58,2,22.02,1361.12,0.0,0.02,A,F,1995-09-27,1995-11-01,1995-10-08,TAKE BACK RETURN,TRUCK,regular blithely regular carefully final pen
29,442,4,3,12.82,3928.16,0.03,0.07,A,F,1995-09-16,1995-09-28,1995-10-14,COLLECT COD,RAIL,unusual special unusual furiously pending pe
30,148,35,1,42.02,2080.33,0.06,0.0,A,F,1997-03-16,1997-06-02,1997-03-20,DELIVER IN PERSON,MAIL,quickly unusual special unusual final furiou
30,282,2,2,5.69,4898.56,0.03,0.05,R,F,1997-03-22,1997-05-04,1997-04-18,DELIVER IN PERSON,RAIL,special special regular quickly special unus
30,205,25,3,22.84,3914.81,0.09,0.05,R,F,1997-03-07,1997-04-21,1997-03-26,COLLECT COD,MAIL,quickly unusual furiously final unusual pend
31,134,8,1,8.66,1813.99,0.07,0.07,N,F,1997-07-23,1997-08-06,1997-07-27,COLLECT COD,FOB,unusual regular pending slyly unusual quickl
31,294,16,2,41.29,1188.82,0.07,0.02,A,F,1997-08-06,1997-08-22,1997-09-02,DELIVER IN PERSON,MAIL,carefully regular blithely slyly regular pen
31,330,39,3,18.44,1106.5,0.05,0.05,R,F,1997-07-28,1997-08-23,1997-08-09,TAKE BACK RETURN,FOB,silent silent express
32,492,22,1,30.16,912.93,0.08,0.07,R,F,1994-04-19,1994-05-21,1994-04-29,DELIVER IN PERSON,AIR,silent quickly blithely unusual pending
32,491,25,2,13.12,949.23,0.1,0.02,A,F,1994-03-05,1994-04-01,1994-03-10,NONE,AIR,pending quickly unusual
32,173,37,3,17.1,3617.78,0.09,0.02,N,F,1994-03-26,1994-05-06,1994-04-12,NONE,FOB,blithely slyly unusual quickly
33,426,35,1,37.88,543.28,0.09,0.0,N,F,1994-07-06,1994-07-07,1994-07-31,TAKE BACK RETURN,AIR,blithely pending special pending furiously f
33,236,40,2,29.81,1461.49,0.01,0.0,A,F,1994-05-29,1994-07-24,1994-06-23,DELIVER IN PERSON,SHIP,quickly final furiously pending
33,68,24,3,20.38,472.47,0.02,0.04,R,F,1994-06-01,1994-08-01,1994-06-14,TAKE BACK RETURN,REG AIR,regular pending quickly blithely final
34,162,18,1,14.25,1036.15,0.07,0.01,A,F,1999-02-07,1999-02-06,1999-03-07,NONE,TRUCK,pending unusual slyly pending blithely
34,154,31,2,33.64,341.91,0.09,0.04,R,F,1999-01-31,1999-02-21,1999-02-21,NONE,RAIL,furiously final carefully quickly pending pe
34,363,33,3,31.79,3409.49,0.07,0.04,N,F,1999-01-01,1999-03-01,1999-01-07,DELIVER IN PERSON,AIR,regular special regular final silent furious
35,141,8,1,44.29,1734.36,0.05,0.06,R,F,1996-05-20,1996-06-04,1996-06-06,COLLECT COD,REG AIR,carefully carefully regular final unusual
35,379,66,2,14.04,2463.05,0.07,0.06,R,F,1996-04-26,1996-05-21,1996-05-26,NONE,FOB,special blithely unusual pending unusual
35,180,2,3,37.99,2713.09,0.04,0.06,R,F,1996-06-01,1996-06-11,1996-06-14,NONE,RAIL,silent unusual slyly quickly
36,311,90,1,33.1,2032.65,0.08,0.04,R,F,1993-02-25,1993-04-13,1993-03-10,NONE,REG AIR,slyly special silent regular unusual
36,245,37,2,32.7,191.94,0.02,0.01,N,F,1993-04-05,1993-05-05,1993-04-08,COLLECT COD,MAIL,slyly silent unusual pending quickly
36,48,12,3,47.53,1188.74,0.09,0.06,N,F,1993-03-15,1993-03-19,1993-04-14,COLLECT COD,RAIL,blithely express express pending carefully r
37,294,42,1,12.19,949.97,0.03,0.01,R,F,1993-04-06,1993-04-10,1993-04-28,COLLECT COD,FOB,unusual quickly unusual
37,211,15,2,1.61,4690.6,0.06,0.02,R,F,1993-02-18,1993-04-10,1993-02-28,COLLECT COD,FOB,final express slyly
37,60,96,3,10.63,975.52,0.05,0.07,A,F,1993-03-18,1993-04-06,1993-04-03,DELIVER IN PERSON,RAIL,unusual express express blithely special exp
38,154,90,1,9.95,4422.8,0.03,0.02,A,F,1995-03-05,1995-04-01,1995-03-30,DELIVER IN PERSON,REG AIR,unusual express regular final unusual slyly
38,294,33,2,22.98,3828.19,0.0,0.03,A,F,1995-03-04,1995-05-03,1995-03-22,COLLECT COD,RAIL,regular silent express regular
38,102,67,3,22.26,3559.88,0.01,0.0,R,F,1995-02-14,1995-04-22,1995-02-25,NONE,FOB,regular furiously unusual final express
39,219,7,1,15.93,4247.51,0.06,0.06,N,F,1995-12-28,1996-01-22,1996-01-12,NONE,AIR,regular final final silent
39,232,84,2,48.19,1821.87,0.04,0.07,N,F,1996-02-02,1996-02-06,1996-02-07,TAKE BACK RETURN,REG AIR,final furiously quickly slyly
39,189,85,3,15.55,3500.63,0.05,0.07,R,F,1996-01-26,1996-02-15,1996-02-14,DELIVER IN PERSON,MAIL,regular carefully silent pending slyly expre
40,173,5,1,12.17,1315.1,0.03,0.03,R,F,1997-11-23,1997-12-05,1997-11-30,TAKE BACK RETURN,RAIL,regular unusual slyly regular slyly quickly 
40,377,24,2,21.61,4450.48,0.05,0.05,N,F,1997-11-08,1998-01-08,1997-11-11,DELIVER IN PERSON,REG AIR,regular blithely regular unusual slyly caref
40,24,50,3,24.07,1105.71,0.04,0.02,N,F,1997-12-13,1997-11-30,1998-01-05,TAKE BACK RETURN,RAIL,carefully express furiously
41,443,52,1,34.46,2269.63,0.04,0.02,R,F,1994-01-08,1993-12-18,1994-02-02,TAKE BACK RETURN,REG AIR,silent furiously quickly special
41,99,75,2,29.49,3857.01,0.05,0.05,N,F,1993-12-29,1994-01-20,1994-01-25,COLLECT COD,RAIL,silent regular express
41,453,99,3,11.0,4040.99,0.05,0.04,N,F,1994-01-13,1994-02-12,1994-01-14,TAKE BACK RETURN,REG AIR,blithely unusual blithely pending unusual
42,145,46,1,38.98,3091.43,0.04,0.0,R,F,1993-04-14,1993-05-27,1993-04-20,NONE,REG AIR,regular special express blithely pending fur
42,468,66,2,37.38,1461.89,0.08,0.06,N,F,1993-05-04,1993-04-28,1993-05-30,DELIVER IN PERSON,RAIL,silent final silent furiously final final bl
42,348,15,3,17.84,3261.48,0.06,0.06,R,F,1993-05-17,1993-06-16,1993-05-19,TAKE BACK RETURN,FOB,quickly silent carefully pending quickly
43,323,39,1,3.08,4411.19,0.02,0.04,N,F,1994-11-06,1994-11-03,1994-11-23,DELIVER IN PERSON,RAIL,final silent blithely final
43,90,84,2,43.64,1550.31,0.03,0.04,N,F,1994-11-20,1994-12-31,1994-11-21,DELIVER IN PERSON,RAIL,silent blithely furiously furiously
43,95,83,3,32.7,3193.59,0.01,0.03,N,F,1994-10-03,1994-11-28,1994-11-02,DELIVER IN PERSON,FOB,quickly final pending slyly final pending si
44,345,34,1,14.75,1169.88,0.08,0.03,A,F,1997-11-03,1997-11-02,1997-11-24,NONE,SHIP,slyly regular special unusual carefully expr
44,153,21,2,33.22,1932.28,0.04,0.0,R,F,1997-09-28,1997-12-21,1997-10-28,COLLECT COD,RAIL,unusual unusual quickly silent final
44,418,91,3,3.88,3089.22,0.06,0.04,A,F,1997-10-01,1997-12-19,1997-10-26,COLLECT COD,RAIL,pending slyly carefully special final
45,280,19,1,6.82,4383.96,0.06,0.08,A,F,1996-02-05,1996-03-23,1996-02-17,TAKE BACK RETURN,RAIL,furiously furiously unusual special
45,207,60,2,30.61,3162.15,0.05,0.02,N,F,1996-01-25,1996-02-27,1996-02-06,NONE,SHIP,furiously quickly blithely unusual carefully
45,96,78,3,26.7,1004.14,0.1,0.05,A,F,1996-01-29,1996-02-19,1996-02-11,TAKE BACK RETURN,TRUCK,furiously silent final unusual final blithel
46,264,60,1,35.8,2309.61,0.02,0.07,R,F,1997-07-24,1997-07-26,1997-08-03,COLLECT COD,AIR,unusual silent quickly express blithely unus
46,309,68,2,37.56,4882.64,0.06,0.01,R,F,1997-07-05,1997-08-20,1997-07-06,DELIVER IN PERSON,TRUCK,express blithely blithely regular final
46,431,79,3,36.49,4725.09,0.1,0.02,R,F,1997-08-07,1997-09-06,1997-08-15,NONE,FOB,special express special silent silent expres
47,82,96,1,39.51,4705.13,0.01,0.07,N,F,1997-05-13,1997-06-29,1997-06-05,COLLECT COD,TRUCK,unusual final unusual silent regular regular
47,410,14,2,31.5,1378.99,0.09,0.03,N,F,1997-06-19,1997-07-20,1997-07-08,DELIVER IN PERSON,FOB,final pending special regular final
47,322,1,3,22.98,2101.61,0.01,0.04,R,F,1997-05-28,1997-06-11,1997-06-13,NONE,REG AIR,express slyly express
48,7,7,1,25.31,2529.75,0.06,0.01,A,F,1997-08-08,1997-08-18,1997-08-16,DELIVER IN PERSON,REG AIR,slyly unusual special carefully slyly carefu
48,370,10,2,29.95,2626.62,0.02,0.04,R,F,1997-07-29,1997-09-03,1997-08-22,NONE,REG AIR,express regular silent special express
48,221,4,3,22.75,4797.97,0.04,0.01,R,F,1997-07-31,1997-09-04,1997-08-03,TAKE BACK RETURN,RAIL,special slyly special regular special
49,138,46,1,19.79,4860.84,0.0,0.07,N,F,1996-12-28,1997-02-10,1997-01-09,DELIVER IN PERSON,AIR,silent special carefully pending quickly
49,232,34,2,14.29,4023.76,0.04,0.03,A,F,1996-12-31,1997-02-02,1997-01-04,DELIVER IN PERSON,FOB,slyly special express blithely quickly slyly
49,368,40,3,16.63,1627.62,0.05,0.08,N,F,1997-01-10,1997-01-06,1997-01-30,COLLECT COD,MAIL,slyly special unusual
50,228,69,1,27.48,842.6,0.03,0.05,A,F,1993-04-19,1993-05-02,1993-05-18,NONE,FOB,carefully unusual unusual unusual carefully 
50,29,25,2,30.64,2395.27,0.03,0.0,R,F,1993-05-26,1993-05-29,1993-06-24,TAKE BACK RETURN,RAIL,silent furiously silent
50,497,6,3,30.23,301.03,0.07,0.01,N,F,1993-05-12,1993-06-05,1993-05-15,NONE,REG AIR,special unusual quickly pending
51,337,16,1,6.46,3315.37,0.0,0.08,R,F,1995-11-06,1995-11-27,1995-11-28,COLLECT COD,TRUCK,unusual quickly carefully regular furiously
51,187,92,2,14.65,2453.21,0.07,0.06,N,F,1995-11-10,1995-11-18,1995-12-02,COLLECT COD,FOB,special slyly express carefully
51,422,80,3,29.04,3673.05,0.06,0.03,A,F,1995-11-05,1995-11-15,1995-12-01,TAKE BACK RETURN,MAIL,unusual express slyly final special unusual
52,465,58,1,1.29,4543.56,0.05,0.0,A,F,1998-08-14,1998-09-05,1998-08-16,COLLECT COD,TRUCK,final regular special special carefully quic
52,45,83,2,32.03,1403.31,0.0,0.04,R,F,1998-06-23,1998-07-15,1998-07-21,DELIVER IN PERSON,SHIP,furiously special carefully
52,328,4,3,8.01,762.75,0.06,0.03,A,F,1998-07-30,1998-07-27,1998-08-24,NONE,SHIP,carefully final quickly silent slyly furious
53,339,42,1,13.63,1439.44,0.06,0.08,N,F,1998-07-16,1998-09-01,1998-07-26,NONE,FOB,furiously unusual pending silent blithely
53,62,92,2,27.85,2007.52,0.06,0.04,A,F,1998-08-01,1998-10-07,1998-08-28,NONE,RAIL,pending unusual slyly final pending blithely
53,27,41,3,35.27,1961.44,0.02,0.06,R,F,1998-07-20,1998-10-02,1998-08-03,NONE,SHIP,special special regular blithely slyly quick
54,3,9,1,22.62,3429.01,0.06,0.01,A,F,1995-04-28,1995-06-16,1995-05-02,TAKE BACK RETURN,TRUCK,silent silent final unusual express
54,108,32,2,29.95,1607.19,0.06,0.0,N,F,1995-04-21,1995-05-12,1995-05-15,NONE,MAIL,carefully express furiously
54,470,60,3,29.59,1664.66,0.05,0.05,N,F,1995-05-14,1995-05-01,1995-06-08,TAKE BACK RETURN,RAIL,furiously quickly final unusual express quic
55,411,94,1,5.35,1400.26,0.09,0.06,R,F,1998-05-20,1998-07-18,1998-05-26,DELIVER IN PERSON,SHIP,regular unusual unusual slyly carefully
55,310,90,2,24.47,3952.06,0.01,0.05,A,F,1998-07-08,1998-07-07,1998-07-18,DELIVER IN PERSON,MAIL,furiously express slyly slyly furiously quic
55,317,76,3,32.98,1365.61,0.04,0.07,R,F,1998-06-22,1998-08-10,1998-07-15,COLLECT COD,FOB,quickly blithely special unusual unusual sil
56,338,10,1,30.63,2673.83,0.09,0.0,A,F,1996-06-14,1996-06-30,1996-06-25,DELIVER IN PERSON,AIR,carefully pending final quickly regular
56,224,73,2,34.8,3149.45,0.02,0.08,N,F,1996-05-09,1996-06-01,1996-05-10,TAKE BACK RETURN,REG AIR,furiously unusual pending slyly regular
56,321,93,3,39.18,4576.69,0.05,0.04,A,F,1996-05-15,1996-06-13,1996-05-18,DELIVER IN PERSON,RAIL,furiously carefully special slyly special si
57,422,5,1,32.38,3976.32,0.03,0.0,R,F,1994-02-10,1994-02-13,1994-02-19,TAKE BACK RETURN,RAIL,silent regular regular final furiously
57,432,56,2,41.69,167.59,0.0,0.06,N,F,1993-12-27,1994-03-05,1994-01-13,NONE,FOB,quickly slyly furiously carefully express re
57,162,77,3,24.8,2972.37,0.01,0.07,N,F,1994-01-21,1994-02-26,1994-02-15,TAKE BACK RETURN,FOB,quickly carefully quickly blithely special b
58,152,28,1,7.25,3751.98,0.1,0.02,R,F,1997-09-29,1997-10-10,1997-10-04,COLLECT COD,FOB,blithely furiously silent blithely blithely 
58,148,72,2,46.71,1217.09,0.0,0.06,A,F,1997-09-16,1997-11-16,1997-10-01,COLLECT COD,MAIL,slyly furiously carefully express
58,255,39,3,9.46,4458.57,0.06,0.03,N,F,1997-10-20,1997-11-02,1997-11-13,TAKE BACK RETURN,TRUCK,slyly silent quickly pending regular blithel
59,371,33,1,29.2,1913.38,0.03,0.06,A,F,1995-05-06,1995-06-06,1995-05-24,TAKE BACK RETURN,TRUCK,express regular regular express slyly final 
59,498,1,2,42.96,4304.59,0.04,0.02,N,F,1995-05-21,1995-05-06,1995-05-23,DELIVER IN PERSON,SHIP,regular final pending pending
59,166,46,3,45.14,3689.03,0.07,0.03,N,F,1995-04-17,1995-05-20,1995-05-03,TAKE BACK RETURN,AIR,slyly final regular pending furiously
60,414,68,1,42.94,1526.73,0.01,0.01,A,F,1998-11-30,1998-12-27,1998-12-09,DELIVER IN PERSON,MAIL,quickly quickly express slyly
60,302,79,2,24.14,1550.92,0.01,0.07,A,F,1998-11-18,1998-12-17,1998-12-05,TAKE BACK RETURN,TRUCK,slyly quickly slyly quickly carefully regula
60,210,25,3,3.23,3148.83,0.08,0.02,N,F,1999-01-03,1998-12-18,1999-01-20,TAKE BACK RETURN,TRUCK,special carefully carefully silent
61,244,77,1,24.75,4238.71,0.08,0.05,A,F,1993-10-31,1993-11-06,1993-11-27,NONE,MAIL,express unusual final express special expres
