o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
77,648,P,4653.71,1998-08-18,3-MEDIUM,Clerk#000000325,0,furiously special furiously unusual regular quickly
78,400,F,2981.75,1997-02-18,5-LOW,Clerk#000000290,0,special pending furiously
79,484,F,9300.3,1996-10-27,4-NOT SPECIFIED,Clerk#000000173,0,carefully pending quickly blithely pending pending pending
80,502,P,6773.81,1994-12-18,5-LOW,Clerk#000000042,1,unusual pending silent quickly special express blithely
81,314,O,11726.57,1996-09-11,1-URGENT,Clerk#000000558,1,silent carefully quickly blithely
82,145,P,5023.93,1997-10-27,3-MEDIUM,Clerk#000000179,0,silent slyly express regular pending
83,310,P,6859.27,1994-03-30,1-URGENT,Clerk#000000418,1,furiously unusual pending carefully blithely quickly final
84,147,F,9026.77,1995-05-10,2-HIGH,Clerk#000000001,1,carefully furiously pending unusual furiously
85,344,F,4026.59,1998-04-04,2-HIGH,Clerk#000000139,0,carefully pending final pending
86,43,F,8104.55,1994-07-20,1-URGENT,Clerk#000000101,1,quickly slyly slyly pending regular express regular quickly
87,899,F,10182.6,1995-06-22,3-MEDIUM,Clerk#000000888,0,pending pending regular
88,884,O,8343.66,1997-03-01,5-LOW,Clerk#000000437,0,pending furiously quickly
89,578,O,12912.91,1994-09-13,2-HIGH,Clerk#000000384,0,furiously quickly special quickly express pending final quickly
90,474,P,6918.21,1993-09-03,1-URGENT,Clerk#000000415,0,carefully regular pending silent final furiously
91,890,F,11175.68,1998-10-21,2-HIGH,Clerk#000000005,0,pending silent unusual
92,50,O,8792.17,1998-03-08,2-HIGH,Clerk#000000734,1,unusual carefully regular quickly
93,490,F,9560.73,1993-08-01,2-HIGH,Clerk#000000432,0,final slyly blithely
94,710,F,5902.72,1993-12-05,2-HIGH,Clerk#000000837,1,final slyly pending final express quickly
95,540,P,2121.95,1994-11-13,2-HIGH,Clerk#000000344,1,final quickly blithely
96,572,P,7311.45,1995-01-07,5-LOW,Clerk#000000128,1,carefully blithely regular final
97,549,P,7680.9,1996-12-29,1-URGENT,Clerk#000000139,1,blithely regular pending express blithely
98,504,F,1756.82,1998-07-25,3-MEDIUM,Clerk#000000655,1,blithely blithely slyly
99,715,O,9053.37,1995-03-15,3-MEDIUM,Clerk#000000507,0,slyly express furiously furiously final final slyly regular
100,224,P,8585.24,1993-07-23,3-MEDIUM,Clerk#000000308,0,regular blithely final silent final slyly slyly express
101,272,F,10805.07,1993-09-02,2-HIGH,Clerk#000000845,0,blithely slyly express special carefully quickly
102,89,O,6510.57,1994-04-03,3-MEDIUM,Clerk#000000851,1,furiously carefully slyly carefully slyly
103,411,O,12137.34,1995-11-21,3-MEDIUM,Clerk#000000376,0,pending unusual carefully pending express regular slyly regular
104,806,O,7480.04,1998-03-27,3-MEDIUM,Clerk#000000454,0,regular slyly pending special pending silent regular special
105,435,F,10943.94,1996-04-11,5-LOW,Clerk#000000518,0,special unusual silent
106,664,F,10524.5,1994-06-26,4-NOT SPECIFIED,Clerk#000000439,1,special special pending express
107,760,O,5118.67,1994-02-13,4-NOT SPECIFIED,Clerk#000000784,1,silent furiously final regular regular unusual
108,285,F,7984.35,1998-11-20,5-LOW,Clerk#000000226,1,blithely blithely final unusual quickly slyly silent unusual
109,560,P,5458.58,1994-08-17,4-NOT SPECIFIED,Clerk#000000810,1,final carefully silent silent pending furiously
110,194,F,9442.69,1993-02-08,2-HIGH,Clerk#000000118,1,slyly carefully regular pending
111,721,O,10618.57,1995-09-19,2-HIGH,Clerk#000000724,0,slyly pending silent unusual blithely final
112,185,O,6125.73,1994-02-05,3-MEDIUM,Clerk#000000136,0,unusual quickly express carefully silent slyly carefully slyly
113,333,F,4162.0,1993-09-09,1-URGENT,Clerk#000000701,0,quickly unusual quickly carefully slyly special blithely
114,925,F,8077.77,1996-07-27,5-LOW,Clerk#000000261,0,regular slyly slyly unusual unusual silent final
115,468,P,6585.99,1994-07-02,1-URGENT,Clerk#000000419,0,carefully quickly special quickly quickly blithely
116,815,F,8033.04,1993-12-15,5-LOW,Clerk#000000446,0,slyly silent unusual express regular express
117,199,O,5254.11,1993-05-17,4-NOT SPECIFIED,Clerk#000000221,1,carefully unusual blithely final slyly
118,891,P,5502.48,1997-03-27,1-URGENT,Clerk#000000986,0,final regular regular special quickly special
119,72,F,8518.31,1998-05-21,1-URGENT,Clerk#000000754,0,blithely slyly final regular special
120,931,P,8456.74,1998-08-18,3-MEDIUM,Clerk#000000876,0,express regular unusual silent unusual
121,209,O,5111.71,1994-09-30,3-MEDIUM,Clerk#000000079,0,pending silent unusual
122,131,F,14395.27,1997-09-10,5-LOW,Clerk#000000837,0,quickly pending blithely final regular
123,612,O,8715.83,1995-09-19,5-LOW,Clerk#000000101,0,furiously quickly blithely final special express
124,361,P,3981.99,1993-12-03,4-NOT SPECIFIED,Clerk#000000133,0,blithely special unusual pending special blithely regular
125,339,P,9429.72,1995-12-31,4-NOT SPECIFIED,Clerk#000000402,1,special quickly express quickly
126,604,O,4064.14,1997-11-03,1-URGENT,Clerk#000000266,1,carefully furiously unusual regular silent blithely quickly
127,565,F,6505.25,1997-08-02,2-HIGH,Clerk#000000492,1,express express silent final special final unusual furiously
128,838,F,9249.9,1996-08-13,2-HIGH,Clerk#000000063,0,slyly quickly pending carefully silent blithely
129,954,O,11702.87,1994-09-28,4-NOT SPECIFIED,Clerk#000000649,0,pending blithely carefully final carefully slyly
130,517,O,5274.58,1993-09-15,1-URGENT,Clerk#000000468,1,final pending carefully express pending
131,128,P,10000.68,1996-06-10,1-URGENT,Clerk#000000680,0,pending express express
132,544,O,2999.15,1998-02-07,3-MEDIUM,Clerk#000000644,0,final unusual carefully blithely
133,967,F,5305.85,1996-05-21,5-LOW,Clerk#000000321,1,pending quickly pending carefully final slyly unusual silent
134,684,F,8420.62,1997-10-04,1-URGENT,Clerk#000000681,0,carefully unusual final blithely quickly silent
135,79,F,13283.55,1994-09-21,1-URGENT,Clerk#000000534,0,silent quickly quickly final unusual furiously unusual furiously
136,681,O,4343.96,1996-10-16,4-NOT SPECIFIED,Clerk#000000446,0,unusual regular pending blithely special regular regular
137,462,P,6990.9,1993-09-27,1-URGENT,Clerk#000000127,0,quickly silent pending final silent silent regular special
138,312,O,5870.87,1996-02-10,1-URGENT,Clerk#000000930,0,quickly unusual pending express
139,965,P,4333.0,1998-10-04,5-LOW,Clerk#000000819,1,blithely quickly quickly blithely regular unusual unusual unusual
140,304,P,7039.37,1997-09-18,5-LOW,Clerk#000000346,1,special unusual special silent furiously final quickly carefully
141,795,F,9735.61,1993-02-16,2-HIGH,Clerk#000000054,0,blithely furiously express final
142,881,P,7406.46,1997-07-02,4-NOT SPECIFIED,Clerk#000000564,1,final carefully special carefully furiously unusual unusual
143,741,F,4970.53,1993-11-04,4-NOT SPECIFIED,Clerk#000000370,1,furiously special express regular pending
144,8,O,7840.56,1993-10-07,1-URGENT,Clerk#000000374,0,pending regular blithely quickly regular pending blithely final
145,559,O,10860.16,1994-06-20,2-HIGH,Clerk#000000710,0,express silent furiously slyly
146,716,P,8257.75,1998-04-09,3-MEDIUM,Clerk#000000495,0,final express unusual final slyly carefully
147,256,O,12281.02,1994-07-21,5-LOW,Clerk#000000021,0,regular quickly carefully regular
148,706,F,3953.07,1995-08-26,3-MEDIUM,Clerk#000000179,1,carefully final unusual slyly slyly pending unusual
149,608,F,7323.78,1993-03-22,5-LOW,Clerk#000000161,1,quickly pending unusual slyly special
150,513,P,7173.6,1998-06-15,3-MEDIUM,Clerk#000000684,1,regular quickly express carefully carefully regular quickly
151,161,O,4261.2,1998-09-01,1-URGENT,Clerk#000000742,0,carefully quickly regular blithely regular final express regular
152,439,P,7963.27,1995-07-04,3-MEDIUM,Clerk#000000777,0,slyly carefully regular unusual
153,504,O,4555.64,1995-03-31,3-MEDIUM,Clerk#000000109,1,silent blithely express express slyly pending blithely
154,629,F,6466.69,1995-03-09,1-URGENT,Clerk#000000598,1,final express regular blithely
155,744,F,4614.12,1996-02-29,4-NOT SPECIFIED,Clerk#000000420,0,special special express express unusual
156,643,P,9841.03,1993-10-13,5-LOW,Clerk#000000629,1,blithely unusual blithely
157,828,F,4290.58,1995-07-26,1-URGENT,Clerk#000000026,0,slyly special special regular furiously quickly
158,712,F,5890.53,1998-05-23,5-LOW,Clerk#000000598,0,blithely furiously unusual final pending carefully
159,623,P,13800.62,1998-05-11,2-HIGH,Clerk#000000122,0,pending special carefully blithely blithely furiously
160,576,F,12985.84,1997-02-28,3-MEDIUM,Clerk#000000807,1,blithely silent pending pending unusual special carefully silent
161,707,P,9016.96,1995-03-03,4-NOT SPECIFIED,Clerk#000000623,0,silent express blithely blithely final regular
162,26,O,10669.45,1996-01-27,3-MEDIUM,Clerk#000000576,1,pending final carefully blithely blithely carefully
163,467,P,8010.75,1997-05-11,1-URGENT,Clerk#000000224,1,furiously final blithely quickly
164,910,O,4247.48,1994-03-03,2-HIGH,Clerk#000000645,1,special blithely carefully final pending
165,572,O,6015.91,1993-03-21,4-NOT SPECIFIED,Clerk#000000745,1,unusual quickly express
166,415,F,8720.93,1996-02-15,2-HIGH,Clerk#000000961,1,quickly unusual final slyly pending quickly slyly slyly
167,805,P,8819.49,1996-08-01,4-NOT SPECIFIED,Clerk#000000607,0,carefully slyly regular
168,952,F,8905.67,1994-08-08,3-MEDIUM,Clerk#000000713,1,quickly quickly unusual
169,112,P,3075.05,1998-11-04,4-NOT SPECIFIED,Clerk#000000032,1,final blithely silent furiously
170,596,F,8050.68,1998-10-14,5-LOW,Clerk#000000619,1,furiously express slyly carefully
171,96,O,10698.88,1995-07-08,2-HIGH,Clerk#000000490,0,express regular final quickly unusual pending
172,578,P,6266.39,1995-08-29,4-NOT SPECIFIED,Clerk#000000384,1,special pending slyly special blithely quickly special carefully
173,809,P,4884.38,1996-10-27,2-HIGH,Clerk#000000913,0,final pending carefully
174,157,P,8444.51,1998-10-25,5-LOW,Clerk#000000314,0,silent slyly pending slyly pending final
175,483,P,3706.47,1993-10-19,1-URGENT,Clerk#000000709,1,quickly pending unusual regular blithely carefully
176,614,F,7050.97,1993-08-13,4-NOT SPECIFIED,Clerk#000000330,1,express slyly unusual pending blithely carefully slyly express
177,36,O,7187.59,1994-11-10,5-LOW,Clerk#000000060,0,silent unusual carefully carefully regular
178,272,F,4516.17,1995-12-24,2-HIGH,Clerk#000000355,1,furiously special quickly express slyly slyly silent quickly
179,990,P,3112.13,1998-06-07,1-URGENT,Clerk#000000242,1,pending blithely furiously
180,936,F,7847.23,1995-05-23,4-NOT SPECIFIED,Clerk#000000070,1,blithely express regular quickly regular quickly slyly pending
181,46,O,9468.87,1993-11-10,2-HIGH,Clerk#000000082,0,unusual blithely silent quickly pending carefully quickly unusual
182,731,O,6108.03,1994-10-15,1-URGENT,Clerk#000000058,1,unusual silent carefully regular special
183,688,F,6692.59,1994-05-31,3-MEDIUM,Clerk#000000765,1,carefully unusual carefully blithely special carefully
184,287,P,9020.09,1996-03-06,2-HIGH,Clerk#000000334,1,special blithely regular pending slyly special
185,625,F,7524.96,1996-07-29,2-HIGH,Clerk#000000095,1,regular carefully express special unusual
186,672,F,12651.49,1994-07-10,2-HIGH,Clerk#000000926,0,express special silent blithely furiously
187,590,O,5242.13,1994-04-12,5-LOW,Clerk#000000037,0,carefully unusual final
188,27,O,7358.72,1995-04-28,2-HIGH,Clerk#000000679,1,silent special blithely quickly carefully slyly express quickly
189,503,O,11576.24,1997-12-06,3-MEDIUM,Clerk#000000293,0,quickly unusual regular blithely special silent unusual
190,341,F,4431.72,1998-11-19,3-MEDIUM,Clerk#000000912,0,regular final pending final express silent pending
191,237,F,9699.54,1996-01-09,1-URGENT,Clerk#000000872,0,blithely final furiously
192,585,F,12374.09,1994-09-16,3-MEDIUM,Clerk#000000730,1,pending slyly blithely final express carefully regular express
193,106,O,9676.12,1994-07-21,2-HIGH,Clerk#000000700,1,blithely regular furiously carefully unusual quickly quickly slyly
194,739,P,9416.04,1996-05-20,1-URGENT,Clerk#000000500,0,furiously pending express
195,630,F,6833.21,1997-07-02,4-NOT SPECIFIED,Clerk#000000682,1,carefully pending regular quickly quickly silent
196,294,P,8910.55,1995-05-31,3-MEDIUM,Clerk#000000832,1,express pending regular final express slyly
197,589,O,5047.6,1998-09-20,5-LOW,Clerk#000000026,0,slyly quickly quickly final furiously final furiously unusual
198,913,F,8121.08,1998-07-11,5-LOW,Clerk#000000641,0,regular regular blithely slyly blithely
199,372,P,6787.31,1997-03-03,1-URGENT,Clerk#000000698,0,express final regular quickly
200,503,F,7676.57,1998-11-17,2-HIGH,Clerk#000000033,0,carefully pending blithely carefully
201,100,O,10349.24,1998-03-31,4-NOT SPECIFIED,Clerk#000000300,1,furiously pending express slyly slyly carefully regular furiously
202,367,F,7427.43,1996-05-14,3-MEDIUM,Clerk#000000542,1,express furiously unusual pending final special unusual
203,557,O,6185.84,1998-01-25,4-NOT SPECIFIED,Clerk#000000732,1,pending unusual express
204,167,O,10058.47,1993-01-02,5-LOW,Clerk#000000929,1,regular quickly pending
205,65,O,10470.38,1997-09-27,5-LOW,Clerk#000000084,0,carefully quickly carefully slyly quickly blithely blithely unusual
206,706,O,8111.66,1993-08-31,5-LOW,Clerk#000000788,0,express slyly final special silent
207,869,P,8991.25,1993-11-05,2-HIGH,Clerk#000000691,1,final final pending blithely final special
208,162,F,10990.94,1997-05-20,1-URGENT,Clerk#000000919,1,furiously unusual carefully pending pending unusual
209,818,F,6405.44,1995-04-12,1-URGENT,Clerk#000000288,0,furiously regular unusual carefully slyly unusual quickly
210,201,F,9466.47,1998-03-23,4-NOT SPECIFIED,Clerk#000000844,0,express carefully pending express express
211,651,F,8478.0,1993-10-04,1-URGENT,Clerk#000000016,1,express express pending
212,955,F,8631.92,1997-04-14,4-NOT SPECIFIED,Clerk#000000525,1,furiously furiously slyly
213,991,O,11269.13,1994-06-20,2-HIGH,Clerk#000000807,0,silent furiously quickly
214,479,F,9829.81,1998-08-25,5-LOW,Clerk#000000699,0,slyly special silent carefully unusual final
215,870,O,7796.47,1998-12-07,4-NOT SPECIFIED,Clerk#000000118,1,special special unusual
216,818,F,6147.48,1994-03-12,4-NOT SPECIFIED,Clerk#000000582,1,quickly quickly blithely regular
217,279,F,4624.6,1997-01-31,4-NOT SPECIFIED,Clerk#000000053,0,unusual regular quickly blithely quickly slyly
218,417,P,5792.06,1996-12-07,5-LOW,Clerk#000000389,1,silent carefully express slyly regular regular special slyly
219,501,O,6662.65,1996-01-31,4-NOT SPECIFIED,Clerk#000000046,1,pending quickly express final furiously express quickly
220,989,P,7966.35,1998-05-03,3-MEDIUM,Clerk#000000983,0,carefully unusual quickly regular furiously regular final carefully
221,763,F,7892.8,1993-02-17,5-LOW,Clerk#000000334,1,furiously quickly silent blithely quickly
222,1000,O,6330.58,1995-06-03,3-MEDIUM,Clerk#000000005,0,pending special furiously pending special
223,55,P,8805.84,1997-04-24,5-LOW,Clerk#000000127,1,carefully slyly express express carefully regular pending slyly
224,755,P,5065.6,1993-03-03,5-LOW,Clerk#000000832,0,blithely blithely special special express express
225,247,P,8202.45,1997-01-31,3-MEDIUM,Clerk#000000362,1,furiously quickly final regular unusual pending furiously
226,35,O,8798.09,1995-05-30,3-MEDIUM,Clerk#000000381,0,special pending quickly unusual pending express special
227,171,P,4481.04,1995-02-17,4-NOT SPECIFIED,Clerk#000000614,1,unusual blithely blithely silent carefully silent
228,55,F,10312.27,1997-12-23,4-NOT SPECIFIED,Clerk#000000692,0,silent regular express quickly
229,442,F,9719.3,1998-11-04,4-NOT SPECIFIED,Clerk#000000257,1,pending final special express blithely pending furiously final
230,852,F,6708.99,1993-03-30,4-NOT SPECIFIED,Clerk#000000371,0,quickly regular carefully final blithely
231,23,O,11526.33,1994-01-27,4-NOT SPECIFIED,Clerk#000000782,0,regular express pending regular pending
232,882,P,8161.25,1993-08-10,1-URGENT,Clerk#000000724,0,pending unusual carefully
233,717,P,9721.59,1997-08-16,5-LOW,Clerk#000000174,0,furiously blithely silent regular
234,964,P,8262.43,1998-01-14,4-NOT SPECIFIED,Clerk#000000886,1,silent final quickly
235,707,P,3487.73,1998-04-05,5-LOW,Clerk#000000473,1,quickly slyly pending carefully regular carefully
236,522,O,4756.86,1998-09-06,4-NOT SPECIFIED,Clerk#000000967,1,regular unusual quickly blithely blithely carefully
237,284,P,6211.56,1996-09-26,5-LOW,Clerk#000000980,1,regular pending unusual pending blithely
238,390,F,8553.86,1995-03-18,5-LOW,Clerk#000000719,1,blithely furiously unusual blithely unusual silent
239,307,P,10801.62,1997-07-25,4-NOT SPECIFIED,Clerk#000000379,1,blithely quickly quickly
240,781,P,7411.73,1996-03-18,1-URGENT,Clerk#000000758,0,quickly pending blithely
241,87,F,4641.27,1998-06-21,2-HIGH,Clerk#000000836,1,carefully quickly silent silent express unusual express special
242,175,O,6624.87,1994-05-10,2-HIGH,Clerk#000000297,0,express carefully special pending quickly quickly furiously
243,705,O,3559.04,1997-06-05,5-LOW,Clerk#000000732,1,express regular furiously final
244,192,F,8111.03,1995-01-19,1-URGENT,Clerk#000000667,0,unusual carefully carefully final slyly
245,955,F,10653.47,1993-01-14,4-NOT SPECIFIED,Clerk#000000235,1,carefully special quickly carefully express
246,108,O,2760.89,1998-07-06,1-URGENT,Clerk#000000548,1,furiously special regular slyly
247,892,P,5034.05,1995-11-29,1-URGENT,Clerk#000000825,0,quickly special special express unusual
248,514,F,5301.88,1995-08-19,4-NOT SPECIFIED,Clerk#000000952,0,carefully regular carefully express silent quickly special furiously
249,368,F,8208.73,1997-07-08,3-MEDIUM,Clerk#000000737,1,carefully express furiously quickly
250,983,P,4010.2,1998-01-18,4-NOT SPECIFIED,Clerk#000000130,1,slyly furiously special express silent
251,524,O,9460.85,1998-04-10,4-NOT SPECIFIED,Clerk#000000787,1,pending pending express final
252,55,F,3968.09,1997-04-02,1-URGENT,Clerk#000000370,0,special carefully express blithely
253,972,F,8528.83,1997-10-03,3-MEDIUM,Clerk#000000897,0,silent final furiously regular special regular blithely
254,867,P,12103.35,1993-12-27,3-MEDIUM,Clerk#000000025,1,quickly express furiously carefully
255,818,O,9928.52,1997-11-18,3-MEDIUM,Clerk#000000620,1,blithely quickly carefully quickly unusual carefully carefully regular
256,799,P,5381.18,1996-03-25,4-NOT SPECIFIED,Clerk#000000503,1,unusual blithely express express quickly
257,134,P,7257.37,1995-07-28,5-LOW,Clerk#000000488,0,furiously carefully silent special furiously
258,445,P,11606.81,1994-10-17,1-URGENT,Clerk#000000908,1,regular special furiously
259,891,O,3495.88,1996-02-20,2-HIGH,Clerk#000000879,1,regular quickly furiously
260,522,F,7169.88,1997-03-27,4-NOT SPECIFIED,Clerk#000000383,1,unusual regular carefully blithely slyly quickly slyly
261,416,P,11422.87,1995-06-23,3-MEDIUM,Clerk#000000670,0,blithely express carefully silent
262,512,P,8606.9,1997-12-23,3-MEDIUM,Clerk#000000069,1,regular final unusual special
263,318,P,10021.25,1994-03-22,3-MEDIUM,Clerk#000000451,1,furiously slyly furiously slyly final final
264,167,P,3025.55,1998-04-25,1-URGENT,Clerk#000000264,0,unusual silent unusual
265,70,O,5268.45,1995-09-07,4-NOT SPECIFIED,Clerk#000000670,0,furiously final special pending blithely
266,43,P,8982.68,1994-03-31,3-MEDIUM,Clerk#000000921,1,slyly unusual express furiously express carefully pending pending
267,623,F,5979.33,1996-10-10,4-NOT SPECIFIED,Clerk#000000026,0,express express slyly pending quickly
268,851,F,8146.21,1993-02-19,2-HIGH,Clerk#000000652,0,special pending blithely carefully furiously blithely express
269,259,F,5859.56,1995-01-12,2-HIGH,Clerk#000000161,0,special blithely pending quickly regular carefully unusual pending
270,124,O,9549.26,1998-09-15,4-NOT SPECIFIED,Clerk#000000321,1,express furiously special furiously
271,484,O,4611.98,1997-02-09,1-URGENT,Clerk#000000559,0,slyly pending blithely pending
272,216,P,4908.91,1993-03-08,5-LOW,Clerk#000000419,0,carefully quickly special express silent final blithely pending
